dataset,model,errors_loglikelihood,val_mse,kl
boston_housing,mfg,-24.370022,19.522157669067383,2.6505833
boston_housing,mcdo,-26.557253,23.222089767456055,None
boston_housing,svr,None,40.98188220243783,None
concrete,mfg,-394.9687,31.60075569152832,2.5866325
concrete,mcdo,-1.1351388,55.782161712646484,None
concrete,svr,None,60.565590526216326,None
energy_efficiency,mfg,-173.5035,6.157268524169922,4.54676
energy_efficiency,mcdo,-1.924186,41.21975326538086,None
energy_efficiency,svr,None,5.33837966322531,None
kin8nm,mfg,-1.2549413,0.007086455821990967,2.1243286
kin8nm,mcdo,-3.8209465,0.010469252243638039,None
kin8nm,svr,None,0.005977405012216683,None
naval_propulsion,mfg,-0.92284226,6.022638990543783e-05,2.6797926
naval_propulsion,mcdo,-inf,5.511780545930378e-05,None
naval_propulsion,svr,None,3.597370311145036e-05,None
ccpp,mfg,-34.60015,24.10943031311035,3.9033751
ccpp,mcdo,-0.9493463,380.693359375,None
ccpp,svr,None,21.00028062773763,None
